name,html_link,oldest_commit_date,newest_commit_date,days_between_commits,repo_creation_date,days_between_creation
butterjack/BehaviorTrees,https://github.com/butterjack/BehaviorTrees,2021-09-02,2021-09-02,0,2021-09-02,0
arthurrichards77/drone_trees,https://github.com/arthurrichards77/drone_trees,2019-02-27,2019-06-20,113,2019-02-27,113
fzxiehui/py_trees_examples,https://github.com/fzxiehui/py_trees_examples,2021-11-23,2021-11-23,0,2021-11-23,0
Matija8/AIBG,https://github.com/Matija8/AIBG,2021-12-10,2021-12-11,1,2021-12-10,1
ValentinLebouvier/TAL2019,https://github.com/ValentinLebouvier/TAL2019,2019-05-06,2019-06-21,46,2019-05-06,46
hogg377/evo_demo,https://github.com/hogg377/evo_demo,2021-02-05,2021-03-08,31,2021-02-05,31
martkartasev/BTBackchainingRL,https://github.com/martkartasev/BTBackchainingRL,2021-08-04,2022-01-12,161,2021-08-04,161
RoboJackets/robocup-software,https://github.com/RoboJackets/robocup-software,2008-07-23,2022-01-19,4928,2020-10-17,459
jstyrud/planning-and-learning,https://github.com/jstyrud/planning-and-learning,2021-02-24,2021-03-16,20,2021-02-24,20
dgerod/bt_learning_using_gp,https://github.com/dgerod/bt_learning_using_gp,2021-02-24,2022-01-04,314,2021-05-15,234
interaction-lab/RE-BT-Espresso,https://github.com/interaction-lab/RE-BT-Espresso,2020-06-05,2021-12-09,552,2020-06-05,552
jstyrud/WASP-CBSS-BT,https://github.com/jstyrud/WASP-CBSS-BT,2021-05-28,2021-08-24,88,2021-05-28,88
fkanehiro/etc,https://github.com/fkanehiro/etc,2012-06-08,2020-02-12,2805,2018-12-05,434
nubs01/PupperPy,https://github.com/nubs01/PupperPy,2020-09-09,2020-12-31,113,2020-09-09,113
smart-scaffolding/swarm_construction,https://github.com/smart-scaffolding/swarm_construction,2020-01-23,2020-09-05,226,2020-01-23,226
KKalem/toolbox,https://github.com/KKalem/toolbox,2018-07-25,2021-11-09,1203,2018-07-25,1203
happyOBO/leaderboard,https://github.com/happyOBO/leaderboard,2020-12-10,2021-01-29,50,2020-12-10,50
varunjammula/leaderboard,https://github.com/varunjammula/leaderboard,2020-03-21,2021-05-08,413,2021-05-08,0
fzxiehui/note,https://github.com/fzxiehui/note,2021-07-22,2021-08-25,34,2021-07-22,34
ssloxford/they-see-me-rollin,https://github.com/ssloxford/they-see-me-rollin,2021-09-08,2021-10-19,41,2021-09-08,41
refills-project/refills_perception_interface,https://github.com/refills-project/refills_perception_interface,2019-02-19,2020-11-04,624,2019-02-19,624
xingyifei2016/scenario_runner,https://github.com/xingyifei2016/scenario_runner,2018-11-19,2020-02-11,449,2020-02-10,1
sichaozhang1112/Robotics,https://github.com/sichaozhang1112/Robotics,2021-09-02,2021-11-30,89,2021-09-02,89
powerfulwang/CarlaHighwayTest,https://github.com/powerfulwang/CarlaHighwayTest,2021-06-30,2021-09-22,84,2021-06-30,84
aditya3434/BTP-Project,https://github.com/aditya3434/BTP-Project,2021-07-07,2021-07-07,0,2021-07-07,0
Magoli1/carla-pre-crash-scenario-generator,https://github.com/Magoli1/carla-pre-crash-scenario-generator,2020-08-20,2020-10-02,43,2020-08-20,43
JulianSe26/3DCV,https://github.com/JulianSe26/3DCV,2020-08-18,2020-10-02,45,2020-08-18,45
matiov/learn-BTs-with-GP,https://github.com/matiov/learn-BTs-with-GP,2021-03-16,2021-03-23,7,2021-03-16,7
bethosykECR/rss-extended,https://github.com/bethosykECR/rss-extended,2019-07-27,2019-11-18,114,2019-11-18,0
arashroomi/carla_reinforcement,https://github.com/arashroomi/carla_reinforcement,2021-05-03,2021-05-04,1,2021-05-03,1
GonVas/CarlaFinal,https://github.com/GonVas/CarlaFinal,2020-07-13,2020-11-27,137,2020-07-13,137
decisionforce/modulardecision,https://github.com/decisionforce/modulardecision,2020-11-03,2021-01-29,87,2020-11-03,87
ishaan95/TheLongTail,https://github.com/ishaan95/TheLongTail,2018-11-19,2021-12-08,1115,2021-12-08,0
barasm-hita/carla-vehicle-testing,https://github.com/barasm-hita/carla-vehicle-testing,2021-10-08,2022-01-18,102,2021-10-08,102
GeneralMak/Carala_Scenario_Runner,https://github.com/GeneralMak/Carala_Scenario_Runner,2021-08-10,2021-08-10,0,2021-08-10,0
JaRei/sinadra,https://github.com/JaRei/sinadra,2021-05-03,2021-09-09,129,2021-05-03,129
CaoZhong1992/carla-challenge-route,https://github.com/CaoZhong1992/carla-challenge-route,2019-05-09,2019-06-28,50,2019-05-09,50
TJ-Work/CVSC,https://github.com/TJ-Work/CVSC,2021-06-27,2021-07-02,5,2021-06-27,5
carla-simulator/leaderboard,https://github.com/carla-simulator/leaderboard,2020-03-21,2021-12-20,639,2019-11-25,756
Bosszhe/PITF,https://github.com/Bosszhe/PITF,2022-01-13,2022-01-13,0,2022-01-13,0
Essentia-Laboratory/intelligent-embedded-systems,https://github.com/Essentia-Laboratory/intelligent-embedded-systems,2020-09-23,2021-02-05,135,2020-09-23,135
autofuzz2020/AutoFuzz,https://github.com/autofuzz2020/AutoFuzz,2021-12-09,2021-12-09,0,2021-12-09,0
KeyingLucyWang/Safe_Reconfiguration_Scenarios,https://github.com/KeyingLucyWang/Safe_Reconfiguration_Scenarios,2020-08-12,2020-09-15,34,2020-07-26,51
liuyuqi123/ComplexUrbanScenarios,https://github.com/liuyuqi123/ComplexUrbanScenarios,2021-06-30,2021-07-13,13,2021-06-30,13
scope-lab-vu/Risk-Aware-Scene-Generation-CPS,https://github.com/scope-lab-vu/Risk-Aware-Scene-Generation-CPS,2021-11-19,2021-11-28,9,2021-11-19,9
azuzow/Conditional_Imitation_Learning_CARLA,https://github.com/azuzow/Conditional_Imitation_Learning_CARLA,2021-11-05,2021-11-05,0,2021-11-05,0
britig/Hierarchical-Program-Triggered-RL,https://github.com/britig/Hierarchical-Program-Triggered-RL,2020-10-13,2022-01-07,451,2020-10-13,451
MailsonD/Carla_MetamorphicTesting_LBC,https://github.com/MailsonD/Carla_MetamorphicTesting_LBC,2020-11-23,2021-01-15,53,2020-11-23,53
Sdelpeuch/ronoco,https://github.com/Sdelpeuch/ronoco,2021-06-09,2021-09-10,93,2021-06-09,93
AIasd/ADFuzz,https://github.com/AIasd/ADFuzz,2021-09-12,2022-01-13,123,2021-09-12,123
scope-lab-vu/Resonate,https://github.com/scope-lab-vu/Resonate,2021-02-11,2021-07-04,143,2021-02-11,143
autonomousvision/transfuser,https://github.com/autonomousvision/transfuser,2021-03-26,2021-12-04,253,2021-03-26,253
daeheepark/Carla_PathDataset_Generation,https://github.com/daeheepark/Carla_PathDataset_Generation,2020-11-23,2020-12-28,35,2020-11-23,35
xudong19/carla_challenge,https://github.com/xudong19/carla_challenge,2020-04-15,2021-09-24,527,2021-09-24,0
NETH-TDET-Programing-Contest/FY2021,https://github.com/NETH-TDET-Programing-Contest/FY2021,2021-04-27,2022-01-12,260,2021-04-27,260
goRichard/scenario_runner_fzi,https://github.com/goRichard/scenario_runner_fzi,2018-11-19,2020-02-14,452,2020-01-15,30
fabriquant/AutoFuzz,https://github.com/fabriquant/AutoFuzz,2020-08-29,2020-08-29,0,2020-08-30,-1
UoBFlightLab/drone_trees,https://github.com/UoBFlightLab/drone_trees,2019-02-27,2021-10-13,959,2019-02-28,958
mottajacopo/MottaBonora-CarlaSim,https://github.com/mottajacopo/MottaBonora-CarlaSim,2020-12-24,2021-02-10,48,2020-12-24,48
dotchen/WorldOnRails,https://github.com/dotchen/WorldOnRails,2021-02-06,2021-11-19,286,2021-04-15,218
scott364/ScheragaThesis,https://github.com/scott364/ScheragaThesis,2021-01-12,2021-12-25,347,2021-01-12,347
mottajacopo/MottaBonora-CarlaScenarioGenerator,https://github.com/mottajacopo/MottaBonora-CarlaScenarioGenerator,2021-03-31,2021-04-20,20,2021-03-31,20
aadeshnpn/swarm,https://github.com/aadeshnpn/swarm,2017-12-30,2022-01-20,1482,2017-12-30,1482
qcr/ros_trees_qcr,https://github.com/qcr/ros_trees_qcr,2019-08-29,2021-10-20,783,2021-06-01,141
mhnazeri/PMoE,https://github.com/mhnazeri/PMoE,2021-04-27,2022-01-13,261,2021-04-27,261
Shreyasramakrishna90/Risk-Aware-Scene-Generation,https://github.com/Shreyasramakrishna90/Risk-Aware-Scene-Generation,2021-10-28,2021-11-26,29,2021-10-28,29
tkortz/carla_scenario_runner,https://github.com/tkortz/carla_scenario_runner,2018-11-19,2019-11-25,371,2020-07-27,-245
RobeSafe-UAH/Techs4AgeCar-CARLA-Scenario-Runner,https://github.com/RobeSafe-UAH/Techs4AgeCar-CARLA-Scenario-Runner,2018-11-19,2021-07-14,968,2021-03-11,125
autonomousvision/neat,https://github.com/autonomousvision/neat,2021-08-18,2021-09-09,22,2021-08-18,22
oorrppp2/densefusion_ros,https://github.com/oorrppp2/densefusion_ros,2021-03-24,2021-03-24,0,2021-03-24,0
mael25/CBS2,https://github.com/mael25/CBS2,2021-11-08,2021-11-08,0,2021-11-08,0
ptrckhmmr/Deep-Reinforcement-Learning,https://github.com/ptrckhmmr/Deep-Reinforcement-Learning,2020-12-24,2020-12-24,0,2020-12-24,0
anyboby/CarlaRL,https://github.com/anyboby/CarlaRL,2019-05-19,2021-01-28,620,2021-01-27,1
AICPS/roadscene2vec,https://github.com/AICPS/roadscene2vec,2021-06-15,2021-09-19,96,2021-06-15,96
mottajacopo/ScenarioGeneratorWorkflow,https://github.com/mottajacopo/ScenarioGeneratorWorkflow,2021-02-10,2021-03-18,36,2021-02-10,36
yixiao1/Action-Based-Representation-Learning,https://github.com/yixiao1/Action-Based-Representation-Learning,2020-08-07,2020-10-26,80,2020-08-07,80
opendilab/DI-drive,https://github.com/opendilab/DI-drive,2021-07-07,2022-01-06,183,2021-07-07,183
TinaMenke/Deep-Reinforcement-Learning,https://github.com/TinaMenke/Deep-Reinforcement-Learning,2020-03-21,2020-03-21,0,2020-03-21,0
zaidtahirbutt/Situation-Coverage-based-AV-Testing-Framework-in-CARLA,https://github.com/zaidtahirbutt/Situation-Coverage-based-AV-Testing-Framework-in-CARLA,2021-07-14,2022-01-14,184,2021-07-14,184
Skocimis/pucacLasera,https://github.com/Skocimis/pucacLasera,2021-12-10,2021-12-10,0,2021-12-10,0
aadeshnpn/LTLf2BT,https://github.com/aadeshnpn/LTLf2BT,2021-03-17,2021-11-09,237,2021-03-17,237
carla-simulator/scenario_runner,https://github.com/carla-simulator/scenario_runner,2018-11-19,2021-12-20,1127,2018-11-19,1127
aadeshnpn/PyGoal,https://github.com/aadeshnpn/PyGoal,2020-01-21,2021-03-04,408,2020-01-21,408
ygmrsl/ThinkCar,https://github.com/ygmrsl/ThinkCar,2021-04-04,2021-07-09,96,2021-04-05,95
emmilner/swarm_sim,https://github.com/emmilner/swarm_sim,2020-08-18,2021-03-19,213,2020-08-18,213
KeyingLucyWang/SURF_Safe_Reconfiguration,https://github.com/KeyingLucyWang/SURF_Safe_Reconfiguration,2020-07-03,2020-07-28,25,2020-07-03,25
NickNair/GigaRoboticsArtpark,https://github.com/NickNair/GigaRoboticsArtpark,2021-09-05,2021-09-06,1,2021-09-05,1
wmartis/CARLA-Highway-Crossing-Scenario,https://github.com/wmartis/CARLA-Highway-Crossing-Scenario,2021-05-21,2021-05-21,0,2021-05-21,0
hofbi/driver-awareness,https://github.com/hofbi/driver-awareness,2020-11-03,2021-10-23,354,2020-11-03,354
UVA-DSA/Proto-Modeling,https://github.com/UVA-DSA/Proto-Modeling,2020-09-24,2020-09-24,0,2020-09-24,0
UVA-DSA/EMS-Pipeline,https://github.com/UVA-DSA/EMS-Pipeline,2017-08-10,2021-07-16,1436,2017-08-10,1436
UVA-DSA/NIST_Utils,https://github.com/UVA-DSA/NIST_Utils,2018-10-10,2020-07-13,642,2019-02-11,518
JJJayyyy/AIM_TRUST,https://github.com/JJJayyyy/AIM_TRUST,2020-10-26,2021-03-12,137,2020-10-26,137
felipecode/cexp,https://github.com/felipecode/cexp,2019-03-10,2019-11-05,240,2019-03-10,240
sisl/AutonomousRiskFramework.jl,https://github.com/sisl/AutonomousRiskFramework.jl,2020-09-19,2022-01-14,482,2020-09-18,483
Ilethas/SC2-ProtossBot,https://github.com/Ilethas/SC2-ProtossBot,2022-01-13,2022-01-13,0,2022-01-13,0
gabrielsr/hmrs_executor,https://github.com/gabrielsr/hmrs_executor,2020-10-09,2021-08-02,297,2020-10-09,297
anonfse/COSAL_Anonymized,https://github.com/anonfse/COSAL_Anonymized,2021-06-04,2021-06-24,20,2021-06-04,20
DynamicCodeSearch/COSAL,https://github.com/DynamicCodeSearch/COSAL,2020-08-26,2021-07-12,320,2020-08-26,320
DynamicCodeSearch/SLACC,https://github.com/DynamicCodeSearch/SLACC,2018-01-12,2020-02-17,766,2020-01-22,26
UVA-DSA/Feature-Extraction-Protocol-Modelling,https://github.com/UVA-DSA/Feature-Extraction-Protocol-Modelling,2018-02-27,2018-02-27,0,2018-02-27,0
NaryeoH/scenario_runner,https://github.com/NaryeoH/scenario_runner,2021-02-19,2021-11-07,261,2021-02-19,261
novigrads/NIST_Project_utils,https://github.com/novigrads/NIST_Project_utils,2018-10-10,2019-01-23,105,2018-10-10,105
BoshChallenge-50Special/SimulatorCode,https://github.com/BoshChallenge-50Special/SimulatorCode,2021-01-30,2021-05-29,119,2021-01-30,119
HARPLab/DReyeVR,https://github.com/HARPLab/DReyeVR,2022-01-07,2022-01-12,5,2022-01-07,5
stefgina/pacman-AI,https://github.com/stefgina/pacman-AI,2021-03-11,2021-03-12,1,2021-03-11,1
SelfDriveGuard/sdg-engine,https://github.com/SelfDriveGuard/sdg-engine,2021-03-09,2021-06-09,92,2021-03-10,91
Gastd/morse_simulation,https://github.com/Gastd/morse_simulation,2021-02-08,2021-09-21,225,2021-02-14,219
AveryWenwenSi/private,https://github.com/AveryWenwenSi/private,2021-08-31,2021-08-31,0,2021-08-31,0
praveen-palanisamy/macad-gym,https://github.com/praveen-palanisamy/macad-gym,2018-10-08,2020-08-03,665,2019-05-14,447
hsyoon94/ExplorationStrategy,https://github.com/hsyoon94/ExplorationStrategy,2020-10-28,2020-10-28,0,2020-10-28,0
aleallievi/Carla_RL,https://github.com/aleallievi/Carla_RL,2020-06-17,2021-03-24,280,2021-01-18,65
